testing_platform,participant,response_id,file_name,test_date,age_range,age_days,age,gender,language,make_honey,build_dams,hop,lay_eggs,make_milk,jump_in_water,roar,swing_from_trees,bite_people,smell_stinky,make_webs,eat_nuts,peck_wood,jump,feed_birds,tell_time,hold_coffee,brush_hair,babies_to_sleep_in,drink,grow_flowers,provide_light,eat_on,wash_hands,go_to_bathroom,brush_teeth,put_toys_in,protect_us_from_rain,Notes,Parent notes,
lookit,19,133551,The_Curious_Maggie_20230501_01,5/1/23,1461-1826,1560,4.27,male,en,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,participant got distracted on some trials ,,
lookit,20,133645,The_Curious_Maggie_20230501_03,5/1/23,1461-1826,1560,4.27,female,en es,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,participant said 'birds' and pointed at screen for woodpecker_frog which i coded as 1,,
lookit,21,132805,The_Curious_Maggie_20230426_03,4/26/23,1826-2191,2070,5.67,female,en,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,participant didnt say woodpecker but did say 'peck peck' idk whether that counts,Great study! The parent notes at the bottom of my screen were cut off and I could only. read. part of the message.,
lookit,22,132895,The_Curious_Maggie_20230427_02,4/27/23,1826-2191,2040,5.59,female,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lookit,23,132897,The_Curious_Maggie_20230427_04,4/27/23,1826-2191,1920,5.26,female,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant said 'no' or 'yes',,
lookit,24,132928,The_Curious_Maggie_20230427_07,4/27/23,1826-2191,2160,5.92,male,en,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,,1,1,1,i couldn't hear some of the participants responses,,
lookit,25,132967,The_Curious_Maggie_20230428_02,4/28/23,1826-2191,2040,5.59,male,en,1,,,1,,,1,,0,,,,,0,1,,,,,1,,1,0,1,1,,1,,"participant did not follow directions, saying""the first or second one"" which i left blank, but they said 'both' which i coded 0. the 0 can be blank too if not sufficient. participant's sound became muffled ",,
lookit,26,133064,The_Curious_Maggie_20230428_05,4/28/23,1826-2191,2010,5.51,female,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lookit,27,133083,The_Curious_Maggie_20230428_06,4/28/23,1826-2191,2070,5.67,male,en,1,1,,1,1,1,,1,1,1,1,,,1,1,,1,,,,,,1,,1,1,1,1,"participant stopped and said 'light' for lamps, so idk whether to put 1 or nothing",,
lookit,28,133098,The_Curious_Maggie_20230428_07,4/28/23,1826-2191,1920,5.26,female,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"she said it was too long, audrey",
lookit,29,133125,The_Curious_Maggie_20230428_08,4/28/23,1826-2191,1920,5.26,male,en,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,participant said 'i don't know' for lion_dolphin trial,,
lookit,30,133202,The_Curious_Maggie_20230429_04,4/29/23,1826-2191,2190,6,male,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,my 5 year old clearly understood what & how to respond.,
lookit,31,133241,The_Curious_Maggie_20230429_06,4/29/23,1826-2191,2130,5.84,female,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,participant said 'yes' at the beginning,,
lookit,32,133450,The_Curious_Maggie_20230430_03,4/30/23,1826-2191,1830,5.01,male,en pl,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,,1,,1,,,
lookit,33,133637,The_Curious_Maggie_20230501_03,5/1/23,1826-2191,1860,5.1,male,en de,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lookit,34,133740,The_Curious_Maggie_20230502_01,5/2/23,1826-2191,1830,5.01,male,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lookit,35,133756,The_Curious_Maggie_20230502_02,5/2/23,1826-2191,2190,6,male,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lookit,36,133798,The_Curious_Maggie_20230502_04,5/2/23,1826-2191,2130,5.84,female,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,My child got a little bored--maybe make it a little shorter?,
lookit,37,133898,The_Curious_Maggie_20230503_01,5/3/23,1826-2191,2040,5.59,male,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lookit,38,133922,The_Curious_Maggie_20230503_02,5/3/23,1826-2191,1980,5.42,female,en de ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no video on lookit?,,
lookit,39,133969,The_Curious_Maggie_20230503_03,5/3/23,1826-2191,2130,5.84,male,en ur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,,
lookit,40,134036,The_Curious_Maggie_20230504_01,5/4/23,1826-2191,2160,5.92,male,en he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant said yes ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,133759,The_Curious_Maggie_20230502_03,5/2/23,1461-1826,1710,4.68,female,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,133979,The_Curious_Maggie_20230503_04,5/3/23,1461-1826,1770,4.85,female,en fr ml,1,1,1,1,1,1,0,0,,1,1,1,1,1,1,,,1,1,1,,1,1,0,1,1,1,1,"The child giggled for giving toilet response for washing hands, and skipped some trials because they didn't know ",,
,,136267,The_Curious_Maggie_20230523_01,5/23/23,1461-1826,1560,4.27,female,en,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,child said both for biting people ,,
,,136378,The_Curious_Maggie_20230524_01,5/24/23,1461-1826,1770,4.85,male,en,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,child didn't know either for birdfeeder_flowerpot,,
,,134037,The_Curious_Maggie_20230504_02,5/4/23,1826-2191,2040,5.59,male,en,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,child was distracted for blank,"This study was ""too easy"", said my son. Also, the parent's presence was not necessary",
,,134042,The_Curious_Maggie_20230504_03,5/4/23,1826-2191,1950,5.34,male,en,1,,1,1,1,1,0,1,0,1,1,,1,1,1,1,1,1,,,0,1,1,1,0,1,1,,,he was joking and being sarcastic because he thought the questions were silly,
,,136165,The_Curious_Maggie_20230522_02,5/22/23,1826-2191,1860,5.1,female,en ro,1,0,1,1,1,1,1,1,0,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,1,0,child skipped some trials,,
